Date,Predicted_Units_Sold
2026-09-11,10.0
2026-09-12,10.0
2026-09-13,10.0
2026-09-14,10.0
2026-09-15,10.0
2026-09-16,10.0
2026-09-17,10.0
2026-09-18,10.0
2026-09-19,10.0
2026-09-20,10.0
2026-09-21,10.0
2026-09-22,10.0
2026-09-23,10.0
2026-09-24,10.0
2026-09-25,10.0
2026-09-26,10.0
2026-09-27,10.0
2026-09-28,10.0
2026-09-29,10.0
2026-09-30,10.0
2026-10-01,10.0
2026-10-02,10.0
2026-10-03,10.0
2026-10-04,10.0
2026-10-05,10.0
2026-10-06,10.0
2026-10-07,10.0
2026-10-08,10.0
2026-10-09,10.0
2026-10-10,10.0
2026-10-11,10.0
2026-10-12,10.0
2026-10-13,10.0
2026-10-14,10.0
2026-10-15,10.0
2026-10-16,10.0
2026-10-17,10.0
2026-10-18,10.0
2026-10-19,10.0
2026-10-20,10.0
2026-10-21,10.0
2026-10-22,10.0
2026-10-23,10.0
2026-10-24,10.0
2026-10-25,10.0
2026-10-26,10.0
2026-10-27,10.0
2026-10-28,10.0
2026-10-29,10.0
2026-10-30,10.0
2026-10-31,10.0
2026-11-01,10.0
2026-11-02,10.0
2026-11-03,10.0
2026-11-04,10.0
2026-11-05,10.0
2026-11-06,10.0
2026-11-07,10.0
2026-11-08,10.0
2026-11-09,10.0
2026-11-10,10.0
2026-11-11,10.0
2026-11-12,10.0
2026-11-13,10.0
2026-11-14,10.0
2026-11-15,10.0
2026-11-16,10.0
2026-11-17,10.0
2026-11-18,10.0
2026-11-19,10.0
2026-11-20,10.0
2026-11-21,10.0
2026-11-22,10.0
2026-11-23,10.0
2026-11-24,10.0
2026-11-25,10.0
2026-11-26,10.0
2026-11-27,10.0
2026-11-28,10.0
2026-11-29,10.0
2026-11-30,10.0
2026-12-01,10.0
2026-12-02,10.0
2026-12-03,10.0
2026-12-04,10.0
2026-12-05,10.0
2026-12-06,10.0
2026-12-07,10.0
2026-12-08,10.0
2026-12-09,10.0
2026-12-10,10.0
2026-12-11,10.0
2026-12-12,10.0
2026-12-13,10.0
2026-12-14,10.0
2026-12-15,10.0
2026-12-16,10.0
2026-12-17,10.0
2026-12-18,10.0
2026-12-19,10.0
2026-12-20,10.0
2026-12-21,10.0
2026-12-22,10.0
2026-12-23,10.0
2026-12-24,10.0
2026-12-25,10.0
2026-12-26,10.0
2026-12-27,10.0
2026-12-28,10.0
2026-12-29,10.0
2026-12-30,10.0
2026-12-31,10.0
2027-01-01,10.0
2027-01-02,10.0
2027-01-03,10.0
2027-01-04,10.0
2027-01-05,10.0
2027-01-06,10.0
2027-01-07,10.0
2027-01-08,10.0
2027-01-09,10.0
2027-01-10,10.0
2027-01-11,10.0
2027-01-12,10.0
2027-01-13,10.0
2027-01-14,10.0
2027-01-15,10.0
2027-01-16,10.0
2027-01-17,10.0
2027-01-18,10.0
2027-01-19,10.0
2027-01-20,10.0
2027-01-21,10.0
2027-01-22,10.0
2027-01-23,10.0
2027-01-24,10.0
2027-01-25,10.0
2027-01-26,10.0
2027-01-27,10.0
2027-01-28,10.0
2027-01-29,10.0
2027-01-30,10.0
2027-01-31,10.0
2027-02-01,10.0
2027-02-02,10.0
2027-02-03,10.0
2027-02-04,10.0
2027-02-05,10.0
2027-02-06,10.0
2027-02-07,10.0
2027-02-08,10.0
2027-02-09,10.0
2027-02-10,10.0
2027-02-11,10.0
2027-02-12,10.0
2027-02-13,10.0
2027-02-14,10.0
2027-02-15,10.0
2027-02-16,10.0
2027-02-17,10.0
2027-02-18,10.0
2027-02-19,10.0
2027-02-20,10.0
2027-02-21,10.0
2027-02-22,10.0
2027-02-23,10.0
2027-02-24,10.0
2027-02-25,10.0
2027-02-26,10.0
2027-02-27,10.0
2027-02-28,10.0
2027-03-01,10.0
2027-03-02,10.0
2027-03-03,10.0
2027-03-04,10.0
2027-03-05,10.0
2027-03-06,10.0
2027-03-07,10.0
2027-03-08,10.0
2027-03-09,10.0
2027-03-10,10.0
2027-03-11,10.0
2027-03-12,10.0
2027-03-13,10.0
2027-03-14,10.0
2027-03-15,10.0
2027-03-16,10.0
2027-03-17,10.0
2027-03-18,10.0
2027-03-19,10.0
2027-03-20,10.0
2027-03-21,10.0
2027-03-22,10.0
2027-03-23,10.0
2027-03-24,10.0
2027-03-25,10.0
2027-03-26,10.0
2027-03-27,10.0
2027-03-28,10.0
2027-03-29,10.0
2027-03-30,10.0
2027-03-31,10.0
2027-04-01,10.0
2027-04-02,10.0
2027-04-03,10.0
2027-04-04,10.0
2027-04-05,10.0
2027-04-06,10.0
2027-04-07,10.0
2027-04-08,10.0
2027-04-09,10.0
2027-04-10,10.0
2027-04-11,10.0
2027-04-12,10.0
2027-04-13,10.0
2027-04-14,10.0
2027-04-15,10.0
2027-04-16,10.0
2027-04-17,10.0
2027-04-18,10.0
2027-04-19,10.0
2027-04-20,10.0
2027-04-21,10.0
2027-04-22,10.0
2027-04-23,10.0
2027-04-24,10.0
2027-04-25,10.0
2027-04-26,10.0
2027-04-27,10.0
2027-04-28,10.0
2027-04-29,10.0
2027-04-30,10.0
2027-05-01,10.0
2027-05-02,10.0
2027-05-03,10.0
2027-05-04,10.0
2027-05-05,10.0
2027-05-06,10.0
2027-05-07,10.0
2027-05-08,10.0
2027-05-09,10.0
2027-05-10,10.0
2027-05-11,10.0
2027-05-12,10.0
2027-05-13,10.0
2027-05-14,10.0
2027-05-15,10.0
2027-05-16,10.0
2027-05-17,10.0
2027-05-18,10.0
2027-05-19,10.0
2027-05-20,10.0
2027-05-21,10.0
2027-05-22,10.0
2027-05-23,10.0
2027-05-24,10.0
2027-05-25,10.0
2027-05-26,10.0
2027-05-27,10.0
2027-05-28,10.0
2027-05-29,10.0
2027-05-30,10.0
2027-05-31,10.0
2027-06-01,10.0
2027-06-02,10.0
2027-06-03,10.0
2027-06-04,10.0
2027-06-05,10.0
2027-06-06,10.0
2027-06-07,10.0
2027-06-08,10.0
2027-06-09,10.0
2027-06-10,10.0
2027-06-11,10.0
2027-06-12,10.0
2027-06-13,10.0
2027-06-14,10.0
2027-06-15,10.0
2027-06-16,10.0
2027-06-17,10.0
2027-06-18,10.0
2027-06-19,10.0
2027-06-20,10.0
2027-06-21,10.0
2027-06-22,10.0
