Date,Store_Location,Predicted_Units_Sold
2026-09-11,Bengaluru,2.48
2026-09-11,Chennai,2.76
2026-09-11,Delhi,2.54
2026-09-11,Mumbai,2.21
2026-09-12,Bengaluru,2.48
2026-09-12,Chennai,2.76
2026-09-12,Delhi,2.54
2026-09-12,Mumbai,2.21
2026-09-13,Bengaluru,2.48
2026-09-13,Chennai,2.76
2026-09-13,Delhi,2.54
2026-09-13,Mumbai,2.21
2026-09-14,Bengaluru,2.48
2026-09-14,Chennai,2.76
2026-09-14,Delhi,2.54
2026-09-14,Mumbai,2.21
2026-09-15,Bengaluru,2.48
2026-09-15,Chennai,2.76
2026-09-15,Delhi,2.54
2026-09-15,Mumbai,2.21
2026-09-16,Bengaluru,2.48
2026-09-16,Chennai,2.76
2026-09-16,Delhi,2.54
2026-09-16,Mumbai,2.21
2026-09-17,Bengaluru,2.48
2026-09-17,Chennai,2.76
2026-09-17,Delhi,2.54
2026-09-17,Mumbai,2.21
2026-09-18,Bengaluru,2.48
2026-09-18,Chennai,2.76
2026-09-18,Delhi,2.54
2026-09-18,Mumbai,2.21
2026-09-19,Bengaluru,2.48
2026-09-19,Chennai,2.76
2026-09-19,Delhi,2.54
2026-09-19,Mumbai,2.21
2026-09-20,Bengaluru,2.48
2026-09-20,Chennai,2.76
2026-09-20,Delhi,2.54
2026-09-20,Mumbai,2.21
2026-09-21,Bengaluru,2.48
2026-09-21,Chennai,2.76
2026-09-21,Delhi,2.54
2026-09-21,Mumbai,2.21
2026-09-22,Bengaluru,2.48
2026-09-22,Chennai,2.76
2026-09-22,Delhi,2.54
2026-09-22,Mumbai,2.21
2026-09-23,Bengaluru,2.48
2026-09-23,Chennai,2.76
2026-09-23,Delhi,2.54
2026-09-23,Mumbai,2.21
2026-09-24,Bengaluru,2.48
2026-09-24,Chennai,2.76
2026-09-24,Delhi,2.54
2026-09-24,Mumbai,2.21
2026-09-25,Bengaluru,2.48
2026-09-25,Chennai,2.76
2026-09-25,Delhi,2.54
2026-09-25,Mumbai,2.21
2026-09-26,Bengaluru,2.48
2026-09-26,Chennai,2.76
2026-09-26,Delhi,2.54
2026-09-26,Mumbai,2.21
2026-09-27,Bengaluru,2.48
2026-09-27,Chennai,2.76
2026-09-27,Delhi,2.54
2026-09-27,Mumbai,2.21
2026-09-28,Bengaluru,2.48
2026-09-28,Chennai,2.76
2026-09-28,Delhi,2.54
2026-09-28,Mumbai,2.21
2026-09-29,Bengaluru,2.48
2026-09-29,Chennai,2.76
2026-09-29,Delhi,2.54
2026-09-29,Mumbai,2.21
2026-09-30,Bengaluru,2.48
2026-09-30,Chennai,2.76
2026-09-30,Delhi,2.54
2026-09-30,Mumbai,2.21
2026-10-01,Bengaluru,2.48
2026-10-01,Chennai,2.76
2026-10-01,Delhi,2.54
2026-10-01,Mumbai,2.21
2026-10-02,Bengaluru,2.48
2026-10-02,Chennai,2.76
2026-10-02,Delhi,2.54
